RegionID,SizeRank,RegionName,RegionType,StateName,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23
394655,488,"Greenwood, SC",msa,SC,168100,168117,172450,180317,185833,186250,189500,189500,190750,187667,187667,188983,189133,188425,196340,204790,210254,212673,214373,212283,213950,215633,223283,223300,224467,231133,238264,245325,248464,242967,239675,231519,228219,218050,217648,215132,217015,215750,212417,209117,210900,219583,227883,229217,226350,226217,234463,250162,256662,262098,264767,266100,268333,269631,278965,276965,277317,276467,276632,276615,280712
394764,489,"Lake City, FL",msa,FL,194100,193917,195617,196783,197617,197617,196783,197800,199433,200700,197200,193867,195283,201250,211100,214783,217817,211300,208783,207617,215950,220100,215750,208283,204800,210617,218116,224932,228266,229500,229533,231233,239433,244433,243600,233833,225500,229490,243640,253607,253783,243867,237217,237217,241617,249800,254467,260983,271300,279867,288800,293317,295067,291317,291150,294467,299133,297967,296333,298633,300267
394752,490,"Klamath Falls, OR",msa,OR,202817,212150,223983,229500,232816,230966,231466,229817,235000,237167,238800,236800,237933,245967,252633,259283,259550,261550,260100,259833,254333,251833,246417,246883,247517,249933,252633,261000,274000,277667,282483,279150,287817,282150,281633,278300,284117,294133,305800,312467,316633,319633,324667,324333,319667,316667,313667,325333,334983,348317,348283,349967,339967,326667,316333,316500,319733,313067,306233,297000,303000
394877,491,"Morehead City, NC",msa,NC,299433,299900,299933,301883,305550,311883,318300,319667,319133,315800,314100,314967,314933,318300,321600,326300,332933,332633,332967,329667,331667,331667,330000,328000,331000,335667,342150,345467,347767,347950,352450,360150,360383,347900,,311150,,347317,374500,387500,396500,393467,393767,394933,398467,398167,401000,403000,419667,430467,442933,451600,468267,493267,501583,513283,496650,488333,486500,503133,511466
394472,492,"Clearlake, CA",msa,CA,299300,305000,311667,325000,326000,329333,324583,321250,315583,313967,310467,306133,299250,305750,315750,324333,324333,316333,307967,301300,295967,289300,282633,282300,286500,295467,305800,316633,320833,321000,319333,319500,322000,325167,330500,334500,344667,357500,362833,367833,368333,378333,379667,380583,377250,377583,371667,373150,376483,393150,415000,421667,423333,408000,404333,397667,397667,397633,397633,392967,385000
394305,493,"Alamogordo, NM",msa,NM,177333,180400,181200,181117,178017,176350,174900,174833,174833,174833,174750,177267,180633,185650,188000,187967,185633,182300,181967,181100,181167,179800,181500,183750,186900,188233,192383,195600,201833,205033,202533,198467,198800,201600,202933,196300,195950,195700,205733,212817,221567,223333,221483,219483,220817,224333,228833,233283,241583,247417,243300,243233,243217,249650,249617,250433,259567,261367,264700,259100,270750
395027,494,"Roanoke Rapids, NC",msa,NC,117900,122867,130217,132767,132383,126217,123733,122483,124150,123300,123283,125835,129168,133935,139017,147033,149600,150133,152117,153100,156583,154950,154817,151067,146067,143233,136967,133617,132700,132733,132750,129967,126200,117867,117867,119967,127717,130917,,158283,161750,149583,150954,153987,154420,145317,131983,117883,121933,137267,156450,169983,173092,171408,164708,149900,142417,137450,142383,138233,134900
394587,495,"Farmington, MO",msa,MO,129267,129767,133350,135683,139017,146200,152567,155833,152867,149767,149033,148233,147500,148300,150700,154833,159533,161267,159633,154933,151600,148233,143233,140400,145400,157100,164267,167933,167900,170833,172167,172167,171558,168075,161442,158117,156633,156633,155966,152633,155800,159800,166433,172600,172600,175967,181467,192150,187150,180617,166633,169967,172917,178733,177033,170767,166283,166300,169617,171283,174633
394897,496,"Muskogee, OK",msa,OK,117133,120483,124500,124000,122333,118333,118317,118817,122117,123933,123433,123100,125300,126967,128967,126633,126742,128442,131742,136467,137957,138399,136899,137742,138967,140633,142967,146300,152133,152433,149133,146633,147328,148961,147295,145800,136133,130050,129883,137817,143900,143400,140150,138450,130750,130667,124767,124633,136817,155417,177750,179617,188617,192267,199648,195148,190165,187165,186332,187163,187165
394826,497,"Marion, IN",msa,IN,76967,75633,74883,77650,78817,79633,78267,77733,76733,74767,72967,72967,73933,78267,81633,83167,84800,85500,91667,94867,99000,99633,96408,92550,87550,84275,82967,83000,85500,87467,88383,87300,83967,79683,77600,75267,73600,76400,81067,87733,91767,95950,99283,98117,95800,92483,90817,88733,87050,85117,89100,93883,99050,99650,104900,108333,114667,111300,101267,91567,83267
394586,498,"Faribault, MN",msa,MN,272450,275816,279150,283316,279950,274950,265800,261683,264983,269117,274900,279900,283233,286567,279933,278267,276450,281433,278133,273317,264967,264783,266267,276117,282950,290467,293950,292283,291583,288282,286598,283265,283267,287300,293333,291333,291483,290450,297417,299900,301583,303250,303250,297100,288800,288833,306667,311667,308750,300417,316750,329650,334650,331617,331300,331267,322117,317450,322450,336600,342400
395021,499,"Richmond, IN",msa,IN,90867,89867,89867,90383,92050,95283,99833,102500,104233,97333,92600,87600,89133,89533,92900,96600,101433,101417,101450,99983,103300,103300,104933,101467,100433,97383,93633,94633,97700,103950,107283,108950,108933,103600,96917,90100,87100,88267,90250,91933,100767,113250,124900,125750,122417,119117,115300,116567,121550,129967,130367,130350,129900,134900,136583,133767,130433,127083,127750,128200,130983
394829,500,"Marquette, MI",msa,MI,177900,184567,188267,187167,187167,185200,184617,184617,186583,191600,188267,188133,186300,187983,189817,195733,203917,202217,196467,189033,185400,182033,179600,183233,191267,206300,216000,214650,212983,206617,205300,190267,183250,178583,173583,166967,165467,173667,183967,187967,186467,183167,183167,183500,176667,163483,153117,158250,159767,173133,178000,196500,199833,203000,196000,189000,182333,177633,178800,179967,181667
394922,501,"North Wilkesboro, NC",msa,NC,213283,211133,211950,215433,221500,225600,232267,232867,232933,227883,225533,225233,222617,228633,232300,241333,241167,244467,241467,239967,237967,242800,241100,236433,233233,236567,245917,262583,274267,271217,257883,243383,238783,253983,265067,269733,244400,242800,231917,237750,226117,234817,235817,243983,243133,242133,232300,213967,201617,194617,216283,232933,248600,240283,223650,210800,210800,208800,209317,204000,205967
394885,502,"Mount Pleasant, MI",msa,MI,146633,148267,151583,151583,153250,152567,152567,150933,150300,152967,155117,154783,153783,157967,164300,168817,167483,166150,165000,166633,168250,169583,169583,169600,169917,172783,171117,170783,167917,169583,169900,168267,164933,162833,161133,157833,153280,149980,149946,148967,148933,148933,149738,148404,146771,144967,142667,137633,137933,141600,149967,158300,164717,166350,163017,159600,157933,160300,160617,158983,154950
395024,503,"Rio Grande City, TX",msa,TX,125667,125000,125000,128000,132667,130667,124000,116000,117167,127063,138396,145459,145563,145646,146583,141917,131833,126667,126167,126500,127667,123167,121500,116667,116667,116667,115000,111667,111667,111333,114667,114667,121333,131333,143500,151917,155250,157917,163166,167333,170833,167500,168150,169150,169150,164250,160583,158917,160667,168333,178333,187557,191641,194641,205083,217650,229650,234983,232167,224500,219500
