Month,ZipCode,MeanValue
2001-02-28,78746,548957.032
2001-02-28,78705,223451.352
2001-02-28,78738,361270.7289
2001-02-28,78724,105033.909
2001-02-28,78728,202294.1161
2001-02-28,78617,142767.3869
2001-02-28,78731,397580.0753
2001-02-28,78757,247897.0769
2001-02-28,78752,130241.61
2001-02-28,78703,511031.8683
2001-02-28,78734,275308.0507
2001-02-28,78739,375169.2852
2001-02-28,78735,369226.0255
2001-02-28,78747,200330.123
2001-02-28,78732,415567.4738
2001-02-28,78751,247177.82
2001-02-28,78645,180829.7396
2001-02-28,78726,315710.8766
2001-02-28,78730,495589.3289
2001-02-28,78733,427274.5336
2001-02-28,78721,123967.5424
2001-02-28,78701,331220.3327
2001-02-28,78756,283237.0299
2001-02-28,78736,201009.0042
2001-02-28,78652,205528.3673
2001-02-28,78669,241513.7243
2001-02-28,78725,110829.7489
2001-02-28,78719,126955.4707
2001-03-31,78660,186494.8791
2001-03-31,78745,156670.7268
2001-03-31,78753,139009.0272
2001-03-31,78704,236414.0428
2001-03-31,78758,141595.0891
2001-03-31,78748,190432.6212
2001-03-31,78744,109485.8588
2001-03-31,78741,137627.732
2001-03-31,78759,301501.0019
2001-03-31,78653,149747.5836
2001-03-31,78723,145305.5695
2001-03-31,78749,281961.1825
2001-03-31,78750,273448.099
2001-03-31,78754,176770.9398
2001-03-31,78727,201363.6919
2001-03-31,78746,551558.5293
2001-03-31,78705,224748.7659
2001-03-31,78738,361529.8667
2001-03-31,78724,105296.6471
2001-03-31,78728,202633.0664
2001-03-31,78617,143179.9801
2001-03-31,78731,397854.3572
2001-03-31,78757,244989.5272
2001-03-31,78752,131614.2683
2001-03-31,78703,511753.3448
2001-03-31,78734,275578.6238
2001-03-31,78739,375931.2838
2001-03-31,78735,367462.1041
2001-03-31,78747,200099.6586
2001-03-31,78732,415853.8044
2001-03-31,78751,246952.3758
2001-03-31,78645,181096.2808
2001-03-31,78726,316864.4205
2001-03-31,78730,496086.5629
2001-03-31,78733,427193.9603
2001-03-31,78721,123097.742
2001-03-31,78701,332193.9379
2001-03-31,78756,284555.7645
2001-03-31,78736,201000.9508
